dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
SelfRegulationSCP2,linear_component_wise_split_sinusoidal,0.5306 ± 0.0111,0.5306,0.0165,0.0111,8,10
SpokenArabicDigits,1d_conv_additive_sinusoidal,0.3115 ± 0.2624,0.3115,0.3917,0.2624,8,10
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,0.9761 ± 0.0028,0.9761,0.0042,0.0028,8,10
SpokenArabicDigits,1d_conv_circular_conv_split_sinusoidal,0.9699 ± 0.0040,0.9699,0.0059,0.0040,8,10
SpokenArabicDigits,1d_conv_component_wise_sinusoidal,0.9762 ± 0.0033,0.9762,0.0049,0.0033,8,10
SpokenArabicDigits,linear_additive_sinusoidal,0.8346 ± 0.2043,0.8346,0.3050,0.2043,8,10
SpokenArabicDigits,linear_additive_split_sinusoidal,0.9436 ± 0.0036,0.9436,0.0054,0.0036,8,10
SpokenArabicDigits,linear_circular_conv_sinusoidal,0.9724 ± 0.0032,0.9724,0.0047,0.0032,8,10
SpokenArabicDigits,linear_component_wise_sinusoidal,0.9806 ± 0.0011,0.9806,0.0016,0.0011,8,10
SpokenArabicDigits,linear_component_wise_split_sinusoidal,0.9762 ± 0.0039,0.9762,0.0058,0.0039,8,10
StandWalkJump,1d_conv_additive_sinusoidal,0.3750 ± 0.0332,0.3750,0.0496,0.0332,8,10
StandWalkJump,1d_conv_circular_conv_sinusoidal,0.2889 ± 0.0358,0.2889,0.0577,0.0358,9,10
StandWalkJump,1d_conv_circular_conv_split_sinusoidal,0.3556 ± 0.0462,0.3556,0.0745,0.0462,9,10
StandWalkJump,1d_conv_component_wise_sinusoidal,0.2963 ± 0.0364,0.2963,0.0588,0.0364,9,10
StandWalkJump,linear_additive_sinusoidal,0.4000 ± 0.0653,0.4000,0.1054,0.0653,9,10
StandWalkJump,linear_additive_split_sinusoidal,0.3185 ± 0.0497,0.3185,0.0801,0.0497,9,10
StandWalkJump,linear_circular_conv_sinusoidal,0.3167 ± 0.0462,0.3167,0.0690,0.0462,8,10
StandWalkJump,linear_component_wise_sinusoidal,0.3400 ± 0.0285,0.3400,0.0492,0.0285,10,10
StandWalkJump,linear_component_wise_split_sinusoidal,0.3111 ± 0.0547,0.3111,0.0882,0.0547,9,10
UWaveGestureLibraryAll,1d_conv_additive_sinusoidal,0.2281 ± 0.1095,0.2281,0.1635,0.1095,8,10
UWaveGestureLibraryAll,1d_conv_circular_conv_sinusoidal,0.8858 ± 0.0058,0.8858,0.0086,0.0058,8,10
UWaveGestureLibraryAll,1d_conv_circular_conv_split_sinusoidal,0.8884 ± 0.0069,0.8884,0.0103,0.0069,8,10
UWaveGestureLibraryAll,1d_conv_component_wise_sinusoidal,0.8850 ± 0.0062,0.8850,0.0093,0.0062,8,10
UWaveGestureLibraryAll,linear_additive_sinusoidal,0.8814 ± 0.0097,0.8814,0.0145,0.0097,8,10
UWaveGestureLibraryAll,linear_additive_split_sinusoidal,0.8897 ± 0.0053,0.8897,0.0079,0.0053,8,10
UWaveGestureLibraryAll,linear_circular_conv_sinusoidal,0.8883 ± 0.0084,0.8883,0.0136,0.0084,9,10
UWaveGestureLibraryAll,linear_component_wise_sinusoidal,0.8805 ± 0.0091,0.8805,0.0136,0.0091,8,10
UWaveGestureLibraryAll,linear_component_wise_split_sinusoidal,0.8818 ± 0.0057,0.8818,0.0085,0.0057,8,10
