dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
FaceDetection,linear_conv_0_8_gaussian_fpe,4712,62,2,0.6243,0.0089,9,0.0068,0.6243 ± 0.0068
FaceDetection,linear_conv_1_sinc_fpe,4712,62,2,0.5968,0.0080,10,0.0057,0.5968 ± 0.0057
FaceDetection,linear_conv_2_sinc_fpe,4712,62,2,0.6298,0.0082,10,0.0058,0.6298 ± 0.0058
FaceDetection,linear_conv_5_sinc_fpe,4712,62,2,0.6721,0.0074,10,0.0053,0.6721 ± 0.0053
FaceDetection,linear_conv_learnable_random_pe,4712,62,2,0.6549,0.0055,9,0.0043,0.6549 ± 0.0043
FaceDetection,linear_conv_learnable_sinusoidal,4712,62,2,0.6638,0.0052,9,0.0040,0.6638 ± 0.0040
FaceDetection,linear_conv_random_pe,4712,62,2,0.6396,0.0093,10,0.0066,0.6396 ± 0.0066
FaceDetection,linear_conv_sinusoidal,4712,62,2,0.6641,0.0067,10,0.0048,0.6641 ± 0.0048
FaceDetection,linear_no_pe,4712,62,2,0.5374,0.0050,9,0.0038,0.5374 ± 0.0038
FingerMovements,linear_conv_0_8_gaussian_fpe,252,50,2,0.4870,0.0397,10,0.0284,0.4870 ± 0.0284
FingerMovements,linear_conv_1_sinc_fpe,252,50,2,0.4810,0.0378,10,0.0271,0.4810 ± 0.0271
FingerMovements,linear_conv_2_sinc_fpe,252,50,2,0.4840,0.0519,10,0.0371,0.4840 ± 0.0371
FingerMovements,linear_conv_5_sinc_fpe,252,50,2,0.5000,0.0361,9,0.0277,0.5000 ± 0.0277
FingerMovements,linear_conv_learnable_random_pe,252,50,2,0.5071,0.0125,7,0.0116,0.5071 ± 0.0116
FingerMovements,linear_conv_learnable_sinusoidal,252,50,2,0.4750,0.0556,10,0.0398,0.4750 ± 0.0398
FingerMovements,linear_conv_random_pe,252,50,2,0.4822,0.0249,9,0.0191,0.4822 ± 0.0191
FingerMovements,linear_conv_sinusoidal,252,50,2,0.4738,0.0277,8,0.0232,0.4738 ± 0.0232
FingerMovements,linear_no_pe,252,50,2,0.5129,0.0138,7,0.0128,0.5129 ± 0.0128
HandMovementDirection,linear_conv_0_8_gaussian_fpe,128,400,4,0.4354,0.0462,9,0.0355,0.4354 ± 0.0355
HandMovementDirection,linear_conv_1_sinc_fpe,128,400,4,0.3784,0.0506,10,0.0362,0.3784 ± 0.0362
HandMovementDirection,linear_conv_2_sinc_fpe,128,400,4,0.4284,0.0337,10,0.0241,0.4284 ± 0.0241
HandMovementDirection,linear_conv_5_sinc_fpe,128,400,4,0.5856,0.0317,9,0.0243,0.5856 ± 0.0243
HandMovementDirection,linear_conv_learnable_random_pe,128,400,4,0.4788,0.0204,7,0.0189,0.4788 ± 0.0189
HandMovementDirection,linear_conv_learnable_sinusoidal,128,400,4,0.5068,0.0280,8,0.0234,0.5068 ± 0.0234
HandMovementDirection,linear_conv_random_pe,128,400,4,0.3604,0.0287,9,0.0220,0.3604 ± 0.0220
HandMovementDirection,linear_conv_sinusoidal,128,400,4,0.5108,0.0630,10,0.0451,0.5108 ± 0.0451
HandMovementDirection,linear_no_pe,128,400,4,0.2703,0.0905,10,0.0648,0.2703 ± 0.0648
