dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_original
SelfRegulationSCP2,linear_additive_isolated_sinusoidal,0.5222 ± 0.0282,0.5222,0.0167,0.0282,3,5
SelfRegulationSCP2,linear_additive_sinusoidal,0.5185 ± 0.0236,0.5185,0.0140,0.0236,3,5
SelfRegulationSCP2,linear_circular_conv_sinusoidal,0.5388 ± 0.0338,0.5388,0.0200,0.0338,3,5
SelfRegulationSCP2,linear_component_wise_sinusoidal,0.5185 ± 0.0532,0.5185,0.0315,0.0532,3,5
SpokenArabicDigits,1d_conv_additive_sinusoidal,0.2008 ± 0.1968,0.2008,0.2938,0.1968,8,10
SpokenArabicDigits,1d_conv_circular_conv_isolated_sinusoidal,0.9667 ± 0.0044,0.9667,0.0066,0.0044,8,10
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,0.9626 ± 0.0044,0.9626,0.0066,0.0044,8,10
SpokenArabicDigits,1d_conv_component_wise_sinusoidal,0.6483 ± 0.2989,0.6483,0.4462,0.2989,8,10
SpokenArabicDigits,linear_additive_isolated_sinusoidal,0.4125 ± 0.2899,0.4125,0.4328,0.2899,8,10
SpokenArabicDigits,linear_additive_sinusoidal,0.7232 ± 0.2593,0.7232,0.3871,0.2593,8,10
SpokenArabicDigits,linear_circular_conv_sinusoidal,0.9674 ± 0.0034,0.9674,0.0050,0.0034,8,10
SpokenArabicDigits,linear_component_wise_sinusoidal,0.5866 ± 0.2884,0.5866,0.4652,0.2884,9,10
StandWalkJump,1d_conv_additive_sinusoidal,0.3067 ± 0.0348,0.3067,0.0365,0.0348,5,5
StandWalkJump,1d_conv_circular_conv_isolated_sinusoidal,0.3000 ± 0.0453,0.3000,0.0385,0.0453,4,5
StandWalkJump,1d_conv_circular_conv_sinusoidal,0.3111 ± 0.1297,0.3111,0.0770,0.1297,3,5
StandWalkJump,1d_conv_component_wise_sinusoidal,N/A,0.3333,0.0000,,3,5
StandWalkJump,linear_additive_isolated_sinusoidal,0.3333 ± 0.0635,0.3333,0.0667,0.0635,5,5
StandWalkJump,linear_additive_sinusoidal,0.3111 ± 0.0648,0.3111,0.0385,0.0648,3,5
StandWalkJump,linear_circular_conv_sinusoidal,0.3334 ± 0.0001,0.3334,0.0001,0.0001,3,5
StandWalkJump,linear_component_wise_sinusoidal,0.3333 ± 0.0001,0.3333,0.0001,0.0001,3,5
UWaveGestureLibraryAll,1d_conv_additive_sinusoidal,0.1168 ± 0.0189,0.1168,0.0112,0.0189,3,5
UWaveGestureLibraryAll,1d_conv_circular_conv_isolated_sinusoidal,0.8868 ± 0.0022,0.8868,0.0013,0.0022,3,5
UWaveGestureLibraryAll,1d_conv_circular_conv_sinusoidal,0.8816 ± 0.0041,0.8816,0.0024,0.0041,3,5
UWaveGestureLibraryAll,1d_conv_component_wise_sinusoidal,0.8834 ± 0.0029,0.8834,0.0017,0.0029,3,5
UWaveGestureLibraryAll,linear_additive_isolated_sinusoidal,0.5237 ± 0.5845,0.5237,0.3467,0.5845,3,5
UWaveGestureLibraryAll,linear_additive_sinusoidal,0.5126 ± 0.5904,0.5126,0.3502,0.5904,3,5
UWaveGestureLibraryAll,linear_circular_conv_sinusoidal,0.8855 ± 0.0040,0.8855,0.0023,0.0040,3,5
UWaveGestureLibraryAll,linear_component_wise_sinusoidal,0.8818 ± 0.0052,0.8818,0.0031,0.0052,3,5
