dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
SpokenArabicDigits,linear_component_wise_sinusoidal,0.9733 ± 0.0055,0.9733,0.0082,0.0055,8,10
StandWalkJump,1d_conv_additive_sinusoidal,0.3926 ± 0.0384,0.3926,0.0619,0.0384,9,10
StandWalkJump,1d_conv_circular_conv_isolated_sinusoidal,0.3600 ± 0.0454,0.3600,0.0783,0.0454,10,10
StandWalkJump,1d_conv_circular_conv_sinusoidal,0.3067 ± 0.0582,0.3067,0.1004,0.0582,10,10
StandWalkJump,1d_conv_component_wise_sinusoidal,0.2500 ± 0.0396,0.2500,0.0591,0.0396,8,10
StandWalkJump,linear_additive_isolated_sinusoidal,0.3667 ± 0.0338,0.3667,0.0504,0.0338,8,10
StandWalkJump,linear_additive_sinusoidal,0.3852 ± 0.0497,0.3852,0.0801,0.0497,9,10
StandWalkJump,linear_circular_conv_sinusoidal,0.3200 ± 0.0570,0.3200,0.0984,0.0570,10,10
StandWalkJump,linear_component_wise_sinusoidal,0.3037 ± 0.0364,0.3037,0.0588,0.0364,9,10
UWaveGestureLibraryAll,1d_conv_additive_sinusoidal,0.2432 ± 0.1161,0.2432,0.1734,0.1161,8,10
UWaveGestureLibraryAll,1d_conv_circular_conv_isolated_sinusoidal,0.8924 ± 0.0040,0.8924,0.0059,0.0040,8,10
UWaveGestureLibraryAll,1d_conv_circular_conv_sinusoidal,0.8920 ± 0.0034,0.8920,0.0050,0.0034,8,10
UWaveGestureLibraryAll,1d_conv_component_wise_sinusoidal,0.8830 ± 0.0054,0.8830,0.0080,0.0054,8,10
UWaveGestureLibraryAll,linear_additive_isolated_sinusoidal,0.8901 ± 0.0047,0.8901,0.0070,0.0047,8,10
UWaveGestureLibraryAll,linear_additive_sinusoidal,0.9025 ± 0.0034,0.9025,0.0050,0.0034,8,10
UWaveGestureLibraryAll,linear_circular_conv_sinusoidal,0.8882 ± 0.0017,0.8882,0.0026,0.0017,8,10
UWaveGestureLibraryAll,linear_component_wise_sinusoidal,0.8827 ± 0.0035,0.8827,0.0053,0.0035,8,10
