dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
PenDigits,linear_conv_learnable_random_pe,0.9585 ± 0.0018,0.9585,0.0027,0.0018,8,10
PenDigits,linear_conv_learnable_sinusoidal,0.9574 ± 0.0023,0.9574,0.0035,0.0023,8,10
PenDigits,linear_conv_random_pe,0.9596 ± 0.0025,0.9596,0.0037,0.0025,8,10
PenDigits,linear_conv_sinusoidal,0.9448 ± 0.0030,0.9448,0.0044,0.0030,8,10
PenDigits,linear_no_pe,0.9082 ± 0.0059,0.9082,0.0088,0.0059,8,10
PhonemeSpectra,linear_conv_0_8_gaussian_fpe,0.0695 ± 0.0018,0.0695,0.0028,0.0018,9,10
PhonemeSpectra,linear_conv_1_sinc_fpe,0.0723 ± 0.0016,0.0723,0.0025,0.0016,8,10
PhonemeSpectra,linear_conv_2_sinc_fpe,0.0677 ± 0.0008,0.0677,0.0012,0.0008,8,10
PhonemeSpectra,linear_conv_5_sinc_fpe,0.0725 ± 0.0035,0.0725,0.0053,0.0035,8,10
PhonemeSpectra,linear_conv_learnable_random_pe,0.0617 ± 0.0018,0.0617,0.0027,0.0018,8,10
PhonemeSpectra,linear_conv_learnable_sinusoidal,0.0657 ± 0.0030,0.0657,0.0045,0.0030,8,10
PhonemeSpectra,linear_conv_random_pe,0.0576 ± 0.0030,0.0576,0.0045,0.0030,8,10
PhonemeSpectra,linear_conv_sinusoidal,0.0659 ± 0.0039,0.0659,0.0059,0.0039,8,10
PhonemeSpectra,linear_no_pe,0.0541 ± 0.0142,0.0541,0.0212,0.0142,8,10
RacketSports,linear_conv_0_8_gaussian_fpe,0.8450 ± 0.0138,0.8450,0.0223,0.0138,9,10
RacketSports,linear_conv_1_sinc_fpe,0.7410 ± 0.1408,0.7410,0.2102,0.1408,8,10
RacketSports,linear_conv_2_sinc_fpe,0.6842 ± 0.1788,0.6842,0.2669,0.1788,8,10
RacketSports,linear_conv_5_sinc_fpe,0.8396 ± 0.0062,0.8396,0.0093,0.0062,8,10
RacketSports,linear_conv_learnable_random_pe,0.6851 ± 0.1485,0.6851,0.2217,0.1485,8,10
RacketSports,linear_conv_learnable_sinusoidal,0.7541 ± 0.1388,0.7541,0.2072,0.1388,8,10
RacketSports,linear_conv_random_pe,0.7858 ± 0.0171,0.7858,0.0275,0.0171,9,10
RacketSports,linear_conv_sinusoidal,0.8314 ± 0.0141,0.8314,0.0211,0.0141,8,10
RacketSports,linear_no_pe,0.3923 ± 0.1603,0.3923,0.2393,0.1603,8,10
SelfRegulationSCP1,linear_conv_0_8_gaussian_fpe,0.7956 ± 0.0092,0.7956,0.0137,0.0092,8,10
SelfRegulationSCP1,linear_conv_1_sinc_fpe,0.7632 ± 0.0252,0.7632,0.0376,0.0252,8,10
SelfRegulationSCP1,linear_conv_2_sinc_fpe,0.8038 ± 0.0148,0.8038,0.0221,0.0148,8,10
