dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
PEMS-SF,1d_conv_component_wise_sinusoidal,213,144,7,0.7694,0.0232,9,0.0178,0.7694 ± 0.0178
PEMS-SF,linear_additive_sinusoidal,213,144,7,0.5809,0.0260,10,0.0186,0.5809 ± 0.0186
PEMS-SF,linear_additive_split_sinusoidal,213,144,7,0.5526,0.0485,10,0.0347,0.5526 ± 0.0347
PEMS-SF,linear_circular_conv_sinusoidal,213,144,7,0.7526,0.0438,10,0.0314,0.7526 ± 0.0314
PEMS-SF,linear_component_wise_sinusoidal,213,144,7,0.7445,0.0345,10,0.0247,0.7445 ± 0.0247
PenDigits,1d_conv_additive_sinusoidal,5995,8,10,0.9798,0.0021,10,0.0015,0.9798 ± 0.0015
PenDigits,1d_conv_circular_conv_sinusoidal,5995,8,10,0.9793,0.0045,10,0.0032,0.9793 ± 0.0032
PenDigits,1d_conv_circular_conv_split_sinusoidal,5995,8,10,0.9804,0.0034,10,0.0025,0.9804 ± 0.0025
PenDigits,1d_conv_component_wise_sinusoidal,5995,8,10,0.9844,0.0021,10,0.0015,0.9844 ± 0.0015
PenDigits,linear_additive_sinusoidal,5995,8,10,0.8538,0.0269,10,0.0193,0.8538 ± 0.0193
PenDigits,linear_additive_split_sinusoidal,5995,8,10,0.8536,0.0041,7,0.0038,0.8536 ± 0.0038
PenDigits,linear_circular_conv_sinusoidal,5995,8,10,0.9417,0.0091,10,0.0065,0.9417 ± 0.0065
PenDigits,linear_component_wise_sinusoidal,5995,8,10,0.9587,0.0044,10,0.0032,0.9587 ± 0.0032
PhonemeSpectra,1d_conv_additive_sinusoidal,2652,217,39,0.0321,0.0136,10,0.0097,0.0321 ± 0.0097
PhonemeSpectra,1d_conv_circular_conv_sinusoidal,2652,217,39,0.1481,0.0037,10,0.0027,0.1481 ± 0.0027
PhonemeSpectra,1d_conv_circular_conv_split_sinusoidal,2652,217,39,0.1500,0.0067,10,0.0048,0.1500 ± 0.0048
PhonemeSpectra,1d_conv_component_wise_sinusoidal,2652,217,39,0.1549,0.0065,10,0.0047,0.1549 ± 0.0047
PhonemeSpectra,linear_additive_sinusoidal,2652,217,39,0.0517,0.0060,10,0.0043,0.0517 ± 0.0043
PhonemeSpectra,linear_additive_split_sinusoidal,2652,217,39,0.0564,0.0022,8,0.0018,0.0564 ± 0.0018
PhonemeSpectra,linear_circular_conv_sinusoidal,2652,217,39,0.0674,0.0025,9,0.0019,0.0674 ± 0.0019
PhonemeSpectra,linear_component_wise_sinusoidal,2652,217,39,0.0674,0.0037,10,0.0027,0.0674 ± 0.0027
RacketSports,1d_conv_additive_sinusoidal,120,30,4,0.7638,0.0314,10,0.0224,0.7638 ± 0.0224
RacketSports,1d_conv_circular_conv_sinusoidal,120,30,4,0.8362,0.0260,10,0.0186,0.8362 ± 0.0186
RacketSports,1d_conv_circular_conv_split_sinusoidal,120,30,4,0.8441,0.0279,10,0.0200,0.8441 ± 0.0200
RacketSports,1d_conv_component_wise_sinusoidal,120,30,4,0.8217,0.0320,10,0.0229,0.8217 ± 0.0229
RacketSports,linear_additive_sinusoidal,120,30,4,0.8171,0.0196,10,0.0140,0.8171 ± 0.0140
RacketSports,linear_additive_split_sinusoidal,120,30,4,0.7908,0.0376,10,0.0269,0.7908 ± 0.0269
RacketSports,linear_circular_conv_sinusoidal,120,30,4,0.8421,0.0099,9,0.0076,0.8421 ± 0.0076
RacketSports,linear_component_wise_sinusoidal,120,30,4,0.8421,0.0104,9,0.0080,0.8421 ± 0.0080
SelfRegulationSCP1,1d_conv_additive_sinusoidal,214,896,2,0.7733,0.0487,9,0.0374,0.7733 ± 0.0374
SelfRegulationSCP1,1d_conv_circular_conv_sinusoidal,214,896,2,0.8214,0.0130,9,0.0100,0.8214 ± 0.0100
SelfRegulationSCP1,1d_conv_circular_conv_split_sinusoidal,214,896,2,0.8028,0.0179,10,0.0128,0.8028 ± 0.0128
SelfRegulationSCP1,1d_conv_component_wise_sinusoidal,214,896,2,0.7933,0.0112,9,0.0086,0.7933 ± 0.0086
SelfRegulationSCP1,linear_additive_sinusoidal,214,896,2,0.7546,0.0256,10,0.0183,0.7546 ± 0.0183
SelfRegulationSCP1,linear_additive_split_sinusoidal,214,896,2,0.7273,0.0255,9,0.0196,0.7273 ± 0.0196
SelfRegulationSCP1,linear_circular_conv_sinusoidal,214,896,2,0.8199,0.0190,9,0.0146,0.8199 ± 0.0146
SelfRegulationSCP1,linear_component_wise_sinusoidal,214,896,2,0.7942,0.0289,10,0.0207,0.7942 ± 0.0207
SelfRegulationSCP2,1d_conv_additive_sinusoidal,160,1152,2,0.5236,0.0139,8,0.0116,0.5236 ± 0.0116
SelfRegulationSCP2,1d_conv_circular_conv_sinusoidal,160,1152,2,0.5521,0.0168,8,0.0140,0.5521 ± 0.0140
SelfRegulationSCP2,1d_conv_circular_conv_split_sinusoidal,160,1152,2,0.5426,0.0142,9,0.0109,0.5426 ± 0.0109
SelfRegulationSCP2,1d_conv_component_wise_sinusoidal,160,1152,2,0.5372,0.0224,10,0.0160,0.5372 ± 0.0160
SelfRegulationSCP2,linear_additive_sinusoidal,160,1152,2,0.5300,0.0239,10,0.0171,0.5300 ± 0.0171
SelfRegulationSCP2,linear_additive_split_sinusoidal,160,1152,2,0.5311,0.0197,10,0.0141,0.5311 ± 0.0141
SelfRegulationSCP2,linear_circular_conv_sinusoidal,160,1152,2,0.5422,0.0287,10,0.0205,0.5422 ± 0.0205
SelfRegulationSCP2,linear_component_wise_sinusoidal,160,1152,2,0.5593,0.0107,9,0.0083,0.5593 ± 0.0083
