dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
Handwriting,linear_conv_learnable_sinusoidal,120,152,26,0.1511,0.0349,10,0.0250,0.1511 ± 0.0250
Handwriting,linear_conv_random_pe,120,152,26,0.0942,0.0339,10,0.0243,0.0942 ± 0.0243
Handwriting,linear_conv_sinusoidal,120,152,26,0.1567,0.0193,10,0.0138,0.1567 ± 0.0138
Handwriting,linear_no_pe,120,152,26,0.0989,0.0111,8,0.0093,0.0989 ± 0.0093
Heartbeat,linear_conv_0_8_gaussian_fpe,163,405,2,0.7478,0.0122,10,0.0087,0.7478 ± 0.0087
Heartbeat,linear_conv_1_sinc_fpe,163,405,2,0.7419,0.0114,10,0.0081,0.7419 ± 0.0081
Heartbeat,linear_conv_2_sinc_fpe,163,405,2,0.7453,0.0128,9,0.0099,0.7453 ± 0.0099
Heartbeat,linear_conv_5_sinc_fpe,163,405,2,0.7312,0.0209,9,0.0161,0.7312 ± 0.0161
Heartbeat,linear_conv_learnable_random_pe,163,405,2,0.7220,0.0000,7,0.0000,0.7220 ± 0.0000
Heartbeat,linear_conv_learnable_sinusoidal,163,405,2,0.7312,0.0129,10,0.0092,0.7312 ± 0.0092
Heartbeat,linear_conv_random_pe,163,405,2,0.7322,0.0150,10,0.0107,0.7322 ± 0.0107
Heartbeat,linear_conv_sinusoidal,163,405,2,0.7385,0.0185,10,0.0133,0.7385 ± 0.0133
Heartbeat,linear_no_pe,163,405,2,0.7327,0.0209,10,0.0150,0.7327 ± 0.0150
InsectWingbeat,linear_conv_0_8_gaussian_fpe,20000,22,10,0.6130,0.0037,9,0.0028,0.6130 ± 0.0028
InsectWingbeat,linear_conv_1_sinc_fpe,20000,22,10,0.6132,0.0029,10,0.0021,0.6132 ± 0.0021
InsectWingbeat,linear_conv_2_sinc_fpe,20000,22,10,0.6141,0.0032,10,0.0023,0.6141 ± 0.0023
InsectWingbeat,linear_conv_5_sinc_fpe,20000,22,10,0.5997,0.0067,10,0.0048,0.5997 ± 0.0048
InsectWingbeat,linear_conv_learnable_random_pe,20000,22,10,0.5901,0.0059,9,0.0046,0.5901 ± 0.0046
InsectWingbeat,linear_conv_learnable_sinusoidal,20000,22,10,0.6058,0.0044,10,0.0032,0.6058 ± 0.0032
InsectWingbeat,linear_conv_random_pe,20000,22,10,0.5787,0.0043,10,0.0031,0.5787 ± 0.0031
InsectWingbeat,linear_conv_sinusoidal,20000,22,10,0.6133,0.0017,8,0.0014,0.6133 ± 0.0014
InsectWingbeat,linear_no_pe,20000,22,10,0.5759,0.0068,10,0.0049,0.5759 ± 0.0049
LSST,linear_conv_0_8_gaussian_fpe,1967,36,14,0.5974,0.0050,10,0.0035,0.5974 ± 0.0035
