dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,n_train_epochs,training_time_seconds
PenDigits,linear_additive_sinusoidal,5,0.0492,0.9833,0.0498,0.9867,0.1169,0.9708,0.7019,2,10,8,5995,3498,1499,100,186.56
PenDigits,1d_conv_additive_sinusoidal,5,0.0274,0.9916,0.0403,0.9913,0.0818,0.9785,0.7045,2,10,8,5995,3498,1499,35,96.82
PenDigits,linear_component_wise_sinusoidal,5,0.0563,0.9815,0.0701,0.9847,0.2142,0.9537,0.7031,2,10,8,5995,3498,1499,58,131.31
PenDigits,1d_conv_component_wise_sinusoidal,5,0.0223,0.9933,0.0375,0.992,0.0802,0.98,0.7056,2,10,8,5995,3498,1499,31,93.5
PenDigits,linear_circular_conv_sinusoidal,5,0.0514,0.9825,0.0645,0.9827,0.1863,0.9505,0.7031,2,10,8,5995,3498,1499,61,140.57
PenDigits,1d_conv_circular_conv_sinusoidal,5,0.0097,0.9975,0.0307,0.9947,0.082,0.9811,0.7056,2,10,8,5995,3498,1499,55,132.49
PenDigits,linear_additive_sinusoidal,6,0.1074,0.9626,0.0937,0.9766,0.1222,0.9657,0.7019,2,10,8,5995,3498,1499,62,132.86
PenDigits,1d_conv_additive_sinusoidal,6,0.0307,0.9913,0.0484,0.9907,0.063,0.9849,0.7045,2,10,8,5995,3498,1499,31,89.54
PenDigits,linear_component_wise_sinusoidal,6,0.0853,0.9685,0.0897,0.9747,0.1742,0.9586,0.7031,2,10,8,5995,3498,1499,39,106.16
PenDigits,1d_conv_component_wise_sinusoidal,6,0.0167,0.9951,0.0282,0.9967,0.0585,0.9877,0.7056,2,10,8,5995,3498,1499,48,119.54
PenDigits,linear_circular_conv_sinusoidal,6,0.0435,0.9852,0.0682,0.986,0.1834,0.958,0.7031,2,10,8,5995,3498,1499,52,125.02
PenDigits,1d_conv_circular_conv_sinusoidal,6,0.0129,0.9963,0.0421,0.992,0.1098,0.9745,0.7056,2,10,8,5995,3498,1499,40,101.39
PenDigits,linear_additive_sinusoidal,7,0.0681,0.9768,0.0667,0.9814,0.1121,0.9691,0.7019,2,10,8,5995,3498,1499,79,158.62
PenDigits,1d_conv_additive_sinusoidal,7,0.0226,0.9935,0.0479,0.992,0.0693,0.9797,0.7045,2,10,8,5995,3498,1499,49,116.55
PenDigits,linear_component_wise_sinusoidal,7,0.0729,0.976,0.0756,0.9827,0.1418,0.958,0.7031,2,10,8,5995,3498,1499,43,108.89
PenDigits,1d_conv_component_wise_sinusoidal,7,0.0202,0.9943,0.034,0.9953,0.0568,0.9837,0.7056,2,10,8,5995,3498,1499,42,112.82
PenDigits,linear_circular_conv_sinusoidal,7,0.0438,0.985,0.0639,0.9847,0.1637,0.9597,0.7031,2,10,8,5995,3498,1499,62,142.43
PenDigits,1d_conv_circular_conv_sinusoidal,7,0.036,0.9881,0.037,0.994,0.0916,0.9788,0.7056,2,10,8,5995,3498,1499,33,97.01
PenDigits,linear_additive_sinusoidal,8,0.0693,0.977,0.0649,0.982,0.1229,0.9671,0.7019,2,10,8,5995,3498,1499,78,163.57
PenDigits,1d_conv_additive_sinusoidal,8,0.0216,0.9937,0.045,0.9933,0.0524,0.9826,0.7045,2,10,8,5995,3498,1499,49,117.48
PenDigits,linear_component_wise_sinusoidal,8,0.0539,0.981,0.0678,0.982,0.1444,0.9657,0.7031,2,10,8,5995,3498,1499,70,149.72
PenDigits,1d_conv_component_wise_sinusoidal,8,0.0221,0.9928,0.0341,0.9953,0.0569,0.9877,0.7056,2,10,8,5995,3498,1499,57,132.93
PenDigits,linear_circular_conv_sinusoidal,8,0.0884,0.9673,0.0855,0.9766,0.2088,0.9488,0.7031,2,10,8,5995,3498,1499,47,118.78
PenDigits,1d_conv_circular_conv_sinusoidal,8,0.015,0.9955,0.0401,0.994,0.074,0.9828,0.7056,2,10,8,5995,3498,1499,51,124.58
PenDigits,linear_additive_sinusoidal,9,0.0567,0.9813,0.0654,0.9827,0.1099,0.9726,0.7019,2,10,8,5995,3498,1499,77,155.19
PenDigits,1d_conv_additive_sinusoidal,9,0.0214,0.9933,0.0495,0.9927,0.068,0.9829,0.7045,2,10,8,5995,3498,1499,47,114.56
PenDigits,linear_component_wise_sinusoidal,9,0.0434,0.986,0.0518,0.9867,0.1525,0.9637,0.7031,2,10,8,5995,3498,1499,60,135.5
PenDigits,1d_conv_component_wise_sinusoidal,9,0.0214,0.9938,0.0311,0.9946,0.0547,0.9854,0.7056,2,10,8,5995,3498,1499,41,111.45
PenDigits,linear_circular_conv_sinusoidal,9,0.0434,0.9868,0.0678,0.9827,0.1745,0.9588,0.7031,2,10,8,5995,3498,1499,59,131.87
PenDigits,1d_conv_circular_conv_sinusoidal,9,0.0336,0.9897,0.0374,0.992,0.0874,0.9769,0.7056,2,10,8,5995,3498,1499,30,94.24
PenDigits,linear_additive_sinusoidal,10,0.055,0.9805,0.0544,0.9853,0.0922,0.9714,0.7019,2,10,8,5995,3498,1499,81,160.21
PenDigits,1d_conv_additive_sinusoidal,10,,,,,2.3058,0.1633,0.7043,2,10,8,5995,3498,1499,1,47.21
PenDigits,linear_component_wise_sinusoidal,10,0.0679,0.9775,0.0614,0.9847,0.1751,0.9591,0.7031,2,10,8,5995,3498,1499,59,131.79
PenDigits,1d_conv_component_wise_sinusoidal,10,0.0121,0.9956,0.034,0.996,0.0539,0.9863,0.7056,2,10,8,5995,3498,1499,46,121.0
PenDigits,linear_circular_conv_sinusoidal,10,0.0789,0.9736,0.0979,0.9719,0.1928,0.9446,0.7031,2,10,8,5995,3498,1499,37,103.98
PenDigits,1d_conv_circular_conv_sinusoidal,10,0.0186,0.9943,0.04,0.9946,0.1101,0.9757,0.7056,2,10,8,5995,3498,1499,47,118.61
